station,station_name,valid(UTC),tmpf,sknt,vis1_coeff,vis2_coeff,vis3_coeff,ptype,precip,
MDW,Chicago Midway,2022-01-02 05:00,32,10,0.92,0.973,,S-,0,
MDW,Chicago Midway,2022-01-02 06:00,32,17,0.553,0.49,,S-,0,
MDW,Chicago Midway,2022-01-02 07:00,31,16,0.586,0.624,,S-,0,
MDW,Chicago Midway,2022-01-02 08:00,26,16,0.714,0.777,,S-,0,
MDW,Chicago Midway,2022-01-02 09:00,24,12,0.242,0.288,,S-,0,
MDW,Chicago Midway,2022-01-02 10:00,24,14,0.104,0.121,,?0,0,
MDW,Chicago Midway,2022-01-02 11:00,25,14,0.11,0.13,,?0,0,
MDW,Chicago Midway,2022-01-02 12:00,24,11,0.096,0.215,,?1,0,
MDW,Chicago Midway,2022-01-02 13:00,23,13,2.31,1.813,,S-,0,
MDW,Chicago Midway,2022-01-02 14:00,22,14,0.638,1.062,,S-,0,
MDW,Chicago Midway,2022-01-02 15:00,22,9,0.132,0.245,,?0,0,
MDW,Chicago Midway,2022-01-02 16:00,23,9,0.149,0.193,,?0,0,
MDW,Chicago Midway,2022-01-02 17:00,25,10,0.352,0.288,,S-,0,
MDW,Chicago Midway,2022-01-02 18:00,26,10,0.082,0.123,,?0,0,
MDW,Chicago Midway,2022-01-02 19:00,29,9,0.057,0.073,,?0,0,
MDW,Chicago Midway,2022-01-02 20:00,31,6,0.052,0.076,,?0,0,
MDW,Chicago Midway,2022-01-02 21:00,29,8,0.057,0.077,,NP,0,
MDW,Chicago Midway,2022-01-02 22:00,28,7,0.06,0.086,,NP,0,
MDW,Chicago Midway,2022-01-02 23:00,27,6,0.063,0.085,,NP,0,
MDW,Chicago Midway,2022-01-03 00:00,25,6,0.074,0.096,,NP,0,
MDW,Chicago Midway,2022-01-03 01:00,24,8,0.062,0.082,,NP,0,
MDW,Chicago Midway,2022-01-03 02:00,22,8,0.055,0.074,,NP,0,
MDW,Chicago Midway,2022-01-03 03:00,20,6,0.065,0.084,,NP,0,
MDW,Chicago Midway,2022-01-03 04:00,17,6,0.073,0.098,,NP,0,
MDW,Chicago Midway,2022-01-03 05:00,17,6,0.074,0.097,,NP,0,
MDW,Chicago Midway,2022-01-03 06:00,16,6,0.081,0.094,,NP,0,
MDW,Chicago Midway,2022-01-03 07:00,15,5,0.077,0.096,,NP,0,
MDW,Chicago Midway,2022-01-03 08:00,14,5,0.073,0.093,,NP,0,
MDW,Chicago Midway,2022-01-03 09:00,13,6,0.08,0.099,,NP,0,
MDW,Chicago Midway,2022-01-03 10:00,13,4,0.097,0.117,,NP,0,
MDW,Chicago Midway,2022-01-04 03:00,24,12,0.061,0.085,,NP,0,
MDW,Chicago Midway,2022-01-04 04:00,23,9,0.072,0.085,,NP,0,
MDW,Chicago Midway,2022-01-04 05:00,24,10,0.056,0.08,,NP,0,
MDW,Chicago Midway,2022-01-04 06:00,24,10,0.054,0.078,,NP,0,
MDW,Chicago Midway,2022-01-04 07:00,24,6,0.058,0.08,,NP,0,
MDW,Chicago Midway,2022-01-04 08:00,24,10,0.06,0.084,,NP,0,
MDW,Chicago Midway,2022-01-04 09:00,24,9,0.077,0.099,,NP,0,
MDW,Chicago Midway,2022-01-04 10:00,25,8,0.085,0.104,,NP,0,
MDW,Chicago Midway,2022-01-04 11:00,25,9,0.083,0.101,,NP,0,
MDW,Chicago Midway,2022-01-04 12:00,25,9,0.095,0.112,,NP,0,
MDW,Chicago Midway,2022-01-04 13:00,25,8,0.115,0.141,,NP,0,
MDW,Chicago Midway,2022-01-04 14:00,26,12,0.116,0.144,,NP,0,
MDW,Chicago Midway,2022-01-04 15:00,28,14,0.114,0.119,,NP,0,
MDW,Chicago Midway,2022-01-04 16:00,31,12,0.084,0.102,,NP,0,
MDW,Chicago Midway,2022-01-04 17:00,32,15,0.083,0.102,,NP,0,
MDW,Chicago Midway,2022-01-04 18:00,33,14,0.084,0.108,,NP,0,
MDW,Chicago Midway,2022-01-04 19:00,34,12,0.084,0.108,,NP,0,
MDW,Chicago Midway,2022-01-04 20:00,35,13,0.09,0.11,,NP,0,
MDW,Chicago Midway,2022-01-04 21:00,35,13,0.088,0.105,,NP,0,
MDW,Chicago Midway,2022-01-04 22:00,34,12,0.087,0.105,,NP,0,
MDW,Chicago Midway,2022-01-04 23:00,34,10,0.1,0.116,,NP,0,
MDW,Chicago Midway,2022-01-05 00:00,34,11,0.113,0.129,,NP,0,
MDW,Chicago Midway,2022-01-05 01:00,35,14,0.084,0.105,,NP,0,
MDW,Chicago Midway,2022-01-05 02:00,36,14,0.073,0.098,,NP,0,
MDW,Chicago Midway,2022-01-05 03:00,35,16,0.059,0.082,,NP,0,
MDW,Chicago Midway,2022-01-05 04:00,36,16,0.055,0.077,,NP,0,
MDW,Chicago Midway,2022-01-05 05:00,35,16,0.051,0.072,,NP,0,
MDW,Chicago Midway,2022-01-05 06:00,35,19,0.055,0.076,,NP,0,
MDW,Chicago Midway,2022-01-05 07:00,34,13,0.061,0.083,,NP,0,
MDW,Chicago Midway,2022-01-05 08:00,34,14,0.068,0.091,,NP,0,
MDW,Chicago Midway,2022-01-05 09:00,34,15,0.07,0.095,,NP,0,
MDW,Chicago Midway,2022-01-05 10:00,33,21,0.168,0.183,,NP,0,
MDW,Chicago Midway,2022-01-05 11:00,28,21,0.797,1.474,,S-,0,
MDW,Chicago Midway,2022-01-05 12:00,24,16,0.764,1.838,,S-,0,
MDW,Chicago Midway,2022-01-05 13:00,21,25,0.873,1.468,,S-,0,
MDW,Chicago Midway,2022-01-05 14:00,20,26,0.804,2.351,,S-,0,
MDW,Chicago Midway,2022-01-05 15:00,18,28,1.082,1.524,,S-,0,
MDW,Chicago Midway,2022-01-05 16:00,17,19,0.389,0.223,,?1,0,
MDW,Chicago Midway,2022-01-05 17:00,15,26,0.961,0.533,,?2,0,
MDW,Chicago Midway,2022-01-05 18:00,15,22,0.122,0.179,,NP,0,
MDW,Chicago Midway,2022-01-05 19:00,14,23,0.455,0.644,,?2,0,
MDW,Chicago Midway,2022-01-05 20:00,14,24,1.641,1.593,,S-,0,
MDW,Chicago Midway,2022-01-05 21:00,14,21,0.201,0.358,,?2,0,
MDW,Chicago Midway,2022-01-05 22:00,14,17,0.442,0.31,,?1,0,
MDW,Chicago Midway,2022-01-05 23:00,14,22,0.184,0.504,,?1,0,
MDW,Chicago Midway,2022-01-06 00:00,14,25,0.104,0.127,,NP,0,
MDW,Chicago Midway,2022-01-06 01:00,14,19,0.066,0.087,,NP,0,
MDW,Chicago Midway,2022-01-06 02:00,14,14,0.067,0.085,,NP,0,
MDW,Chicago Midway,2022-01-06 03:00,14,16,0.064,0.085,,NP,0,
MDW,Chicago Midway,2022-01-06 04:00,14,18,0.288,0.285,,S-,0,
MDW,Chicago Midway,2022-01-06 05:00,13,16,0.234,0.409,,S-,0,
MDW,Chicago Midway,2022-01-06 06:00,13,13,0.099,0.169,,?1,0,
MDW,Chicago Midway,2022-01-06 07:00,12,11,0.085,0.13,,NP,0,
MDW,Chicago Midway,2022-01-06 08:00,12,12,0.054,0.073,,NP,0,
MDW,Chicago Midway,2022-01-06 09:00,11,11,0.058,0.078,,NP,0,
MDW,Chicago Midway,2022-01-06 10:00,10,14,0.062,0.087,,NP,0,
MDW,Chicago Midway,2022-01-06 11:00,9,10,0.057,0.086,,NP,0,
MDW,Chicago Midway,2022-01-06 12:00,9,13,0.059,0.087,,NP,0,
MDW,Chicago Midway,2022-01-06 13:00,8,10,0.074,0.099,,NP,0,
MDW,Chicago Midway,2022-01-06 14:00,8,10,0.08,0.102,,NP,0,
MDW,Chicago Midway,2022-01-06 15:00,10,9,0.07,0.096,,NP,0,
MDW,Chicago Midway,2022-01-06 16:00,12,13,0.063,0.089,,NP,0,
MDW,Chicago Midway,2022-01-06 17:00,13,12,0.078,0.097,,NP,0,
MDW,Chicago Midway,2022-01-06 18:00,15,12,0.069,0.104,,NP,0,
MDW,Chicago Midway,2022-01-06 19:00,16,11,0.07,0.083,,NP,0,
MDW,Chicago Midway,2022-01-06 20:00,16,13,0.059,0.09,,NP,0,
MDW,Chicago Midway,2022-01-06 21:00,16,10,0.065,0.098,,NP,0,
MDW,Chicago Midway,2022-01-06 22:00,15,12,0.11,0.166,,?1,0,
MDW,Chicago Midway,2022-01-06 23:00,14,11,0.21,0.31,,?1,0,
MDW,Chicago Midway,2022-01-07 00:00,13,14,0.096,0.112,,NP,0,
MDW,Chicago Midway,2022-01-07 01:00,12,13,0.053,0.089,,NP,0,
MDW,Chicago Midway,2022-01-07 02:00,10,12,0.097,0.152,,?1,0,
MDW,Chicago Midway,2022-01-07 03:00,8,10,0.068,0.104,,NP,0,
MDW,Chicago Midway,2022-01-07 04:00,7,11,0.06,0.095,,NP,0,
MDW,Chicago Midway,2022-01-07 05:00,6,11,0.058,0.096,,NP,0,
MDW,Chicago Midway,2022-01-07 06:00,5,10,0.058,,,NP,0,
MDW,Chicago Midway,2022-01-07 07:00,4,10,0.06,,,NP,0,
MDW,Chicago Midway,2022-01-07 08:00,4,9,0.065,,,NP,0,
MDW,Chicago Midway,2022-01-07 09:00,3,8,0.061,,,NP,0,
MDW,Chicago Midway,2022-01-07 10:00,2,10,0.065,,,NP,0,
MDW,Chicago Midway,2022-01-07 11:00,2,12,0.068,,,NP,0,
MDW,Chicago Midway,2022-01-07 12:00,1,8,0.076,,,NP,0,
MDW,Chicago Midway,2022-01-07 13:00,1,11,0.077,,,NP,0,
MDW,Chicago Midway,2022-01-07 14:00,1,7,0.089,,,NP,0,
MDW,Chicago Midway,2022-01-07 15:00,3,6,0.084,,,NP,0,
MDW,Chicago Midway,2022-01-07 16:00,6,5,0.082,,,NP,0,
MDW,Chicago Midway,2022-01-07 17:00,10,8,0.077,,,NP,0,
MDW,Chicago Midway,2022-01-07 18:00,13,7,0.082,,,NP,0,
MDW,Chicago Midway,2022-01-07 19:00,14,8,0.082,,,NP,0,
MDW,Chicago Midway,2022-01-07 20:00,15,11,0.073,,,NP,0,
MDW,Chicago Midway,2022-01-07 21:00,14,11,0.072,,,NP,0,
MDW,Chicago Midway,2022-01-07 22:00,13,8,0.08,,,NP,0,
MDW,Chicago Midway,2022-01-07 23:00,13,6,0.089,,,NP,0,
MDW,Chicago Midway,2022-01-08 00:00,12,4,0.09,,,NP,0,
MDW,Chicago Midway,2022-01-08 01:00,13,5,0.105,,,NP,0,
MDW,Chicago Midway,2022-01-08 02:00,12,6,0.104,,,NP,0,
MDW,Chicago Midway,2022-01-08 03:00,12,6,0.11,,,NP,0,
MDW,Chicago Midway,2022-01-08 04:00,13,8,0.09,,,NP,0,
MDW,Chicago Midway,2022-01-08 05:00,14,7,0.088,,,NP,0,
MDW,Chicago Midway,2022-01-08 06:00,15,6,0.089,,,NP,0,
MDW,Chicago Midway,2022-01-08 07:00,15,7,0.092,,,NP,0,
MDW,Chicago Midway,2022-01-08 08:00,16,9,0.102,,,NP,0,
MDW,Chicago Midway,2022-01-08 09:00,16,10,0.105,,,NP,0,
MDW,Chicago Midway,2022-01-08 10:00,18,12,0.065,,,NP,0,
MDW,Chicago Midway,2022-01-08 11:00,18,10,0.064,,,NP,0,
MDW,Chicago Midway,2022-01-08 12:00,18,10,0.075,,,NP,0,
MDW,Chicago Midway,2022-01-08 13:00,18,11,0.077,,,NP,0,
MDW,Chicago Midway,2022-01-08 14:00,19,15,0.074,,,NP,0,
MDW,Chicago Midway,2022-01-08 15:00,22,12,0.065,,,NP,0,
MDW,Chicago Midway,2022-01-08 16:00,24,13,0.061,,,NP,0,
MDW,Chicago Midway,2022-01-08 17:00,25,14,0.07,,,NP,0,
MDW,Chicago Midway,2022-01-08 18:00,27,,,,,NP,0,
MDW,Chicago Midway,2022-01-08 19:00,28,,,,,NP,0,
MDW,Chicago Midway,2022-01-08 20:00,29,,,,,NP,0,
MDW,Chicago Midway,2022-01-08 21:00,28,,,,,P ,0,
MDW,Chicago Midway,2022-01-08 22:00,30,,,,,NP,0,
MDW,Chicago Midway,2022-01-08 23:00,31,,,,,?3,0,
MDW,Chicago Midway,2022-01-09 00:00,32,,,,,?2,0,
MDW,Chicago Midway,2022-01-09 01:00,33,,,,,NP,0,
MDW,Chicago Midway,2022-01-09 02:00,34,,,,,NP,0,
MDW,Chicago Midway,2022-01-09 03:00,35,,,,,?2,0,
MDW,Chicago Midway,2022-01-09 04:00,35,,,,,P ,0,
MDW,Chicago Midway,2022-01-09 05:00,36,5,0.772,,,?1,0,
MDW,Chicago Midway,2022-01-09 06:00,36,6,0.793,,,?1,0,
MDW,Chicago Midway,2022-01-09 07:00,36,6,0.202,,,NP,0,
MDW,Chicago Midway,2022-01-09 08:00,36,7,0.153,,,NP,0,
MDW,Chicago Midway,2022-01-09 09:00,36,8,0.132,,,NP,0,
MDW,Chicago Midway,2022-01-09 10:00,35,7,0.161,,,NP,0,
MDW,Chicago Midway,2022-01-09 11:00,34,11,0.185,,,NP,0,
MDW,Chicago Midway,2022-01-09 12:00,34,11,0.209,,,NP,0,
MDW,Chicago Midway,2022-01-09 13:00,33,12,0.197,,,NP,0,
MDW,Chicago Midway,2022-01-09 14:00,31,12,0.2,,,NP,0,
MDW,Chicago Midway,2022-01-09 15:00,28,15,0.102,,,NP,0,
MDW,Chicago Midway,2022-01-09 16:00,28,15,0.077,,,NP,0,
MDW,Chicago Midway,2022-01-09 17:00,26,18,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-09 18:00,25,14,0.053,,,NP,0,
MDW,Chicago Midway,2022-01-09 19:00,24,14,0.059,,,NP,0,
MDW,Chicago Midway,2022-01-09 20:00,23,15,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-09 21:00,23,14,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-09 22:00,22,10,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-09 23:00,19,12,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 00:00,16,11,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 01:00,14,12,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 02:00,14,10,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 04:00,13,11,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 05:00,12,10,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 06:00,12,9,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 07:00,13,10,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 08:00,14,7,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 09:00,16,9,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 10:00,16,10,0.064,,,NP,0,
MDW,Chicago Midway,2022-01-10 11:00,16,7,0.058,,,?0,0,
MDW,Chicago Midway,2022-01-10 12:00,17,8,0.055,,,NP,0,
MDW,Chicago Midway,2022-01-10 13:00,17,7,0.053,,,NP,0,
MDW,Chicago Midway,2022-01-10 14:00,17,5,0.058,,,NP,0,
MDW,Chicago Midway,2022-01-10 15:00,18,10,0.052,,,NP,0,
MDW,Chicago Midway,2022-01-10 16:00,18,10,0.051,,,NP,0,
MDW,Chicago Midway,2022-01-10 17:00,20,8,0.058,,,NP,0,
MDW,Chicago Midway,2022-01-10 18:00,19,13,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-10 19:00,19,13,0.061,,,NP,0,
MDW,Chicago Midway,2022-01-10 20:00,19,16,0.056,,,NP,0,
MDW,Chicago Midway,2022-01-10 21:00,17,13,0.061,,,NP,0,
MDW,Chicago Midway,2022-01-10 22:00,16,10,0.056,,,NP,0,
MDW,Chicago Midway,2022-01-10 23:00,13,7,0.055,,,NP,0,
MDW,Chicago Midway,2022-01-11 00:00,12,9,0.055,,,NP,0,
MDW,Chicago Midway,2022-01-11 01:00,11,7,0.057,,,NP,0,
MDW,Chicago Midway,2022-01-11 02:00,10,7,0.057,,,NP,0,
MDW,Chicago Midway,2022-01-11 03:00,9,6,0.063,,,NP,0,
MDW,Chicago Midway,2022-01-11 04:00,10,4,0.065,,,NP,0,
MDW,Chicago Midway,2022-01-11 05:00,9,3,0.072,,,NP,0,
MDW,Chicago Midway,2022-01-11 06:00,8,3,0.07,,,NP,0,
MDW,Chicago Midway,2022-01-11 07:00,8,5,0.077,,,NP,0,
MDW,Chicago Midway,2022-01-11 08:00,8,2,0.074,,,NP,0,
MDW,Chicago Midway,2022-01-11 09:00,8,2,0.07,,,NP,0,
MDW,Chicago Midway,2022-01-11 10:00,9,3,0.081,,,NP,0,
MDW,Chicago Midway,2022-01-11 11:00,9,4,0.099,,,NP,0,
MDW,Chicago Midway,2022-01-11 12:00,9,6,0.07,,,NP,0,
MDW,Chicago Midway,2022-01-11 13:00,9,6,0.078,,,NP,0,
MDW,Chicago Midway,2022-01-11 14:00,10,7,0.083,,,NP,0,
MDW,Chicago Midway,2022-01-11 15:00,13,12,0.075,,,NP,0,
MDW,Chicago Midway,2022-01-11 16:00,17,10,0.061,,,NP,0,
MDW,Chicago Midway,2022-01-11 17:00,20,13,0.05,,,NP,0,
MDW,Chicago Midway,2022-01-11 18:00,23,14,0.054,,,NP,0,
MDW,Chicago Midway,2022-01-11 19:00,27,13,0.054,,,NP,0,
MDW,Chicago Midway,2022-01-11 20:00,30,19,0.052,,,NP,0,
MDW,Chicago Midway,2022-01-11 21:00,33,19,0.052,,,NP,0,
MDW,Chicago Midway,2022-01-11 22:00,34,18,0.057,,,NP,0,
MDW,Chicago Midway,2022-01-11 23:00,35,14,0.057,,,NP,0,
MDW,Chicago Midway,2022-01-12 00:00,35,17,0.062,,,NP,0,
MDW,Chicago Midway,2022-01-12 01:00,35,17,0.07,,,NP,0,
MDW,Chicago Midway,2022-01-12 02:00,35,14,0.082,,,NP,0,
MDW,Chicago Midway,2022-01-12 03:00,36,14,0.074,,,NP,0,
MDW,Chicago Midway,2022-01-12 04:00,36,14,0.076,,,NP,0,
MDW,Chicago Midway,2022-01-12 05:00,37,12,0.072,,,NP,0,
MDW,Chicago Midway,2022-01-12 06:00,38,11,0.062,,,NP,0,
MDW,Chicago Midway,2022-01-12 07:00,38,13,0.057,,,NP,0,
MDW,Chicago Midway,2022-01-12 08:00,38,10,0.057,,,NP,0,
MDW,Chicago Midway,2022-01-12 09:00,36,9,0.059,,,NP,0,
MDW,Chicago Midway,2022-01-12 10:00,35,9,0.058,,,NP,0,
MDW,Chicago Midway,2022-01-12 11:00,35,9,0.059,,,NP,0,
MDW,Chicago Midway,2022-01-12 12:00,34,9,0.059,,,NP,0,
MDW,Chicago Midway,2022-01-12 13:00,34,5,0.068,,,NP,0,
MDW,Chicago Midway,2022-01-12 14:00,36,9,0.084,,,NP,0,
MDW,Chicago Midway,2022-01-12 15:00,37,5,0.073,,,NP,0,
MDW,Chicago Midway,2022-01-12 16:00,37,6,0.074,,,NP,0,
MDW,Chicago Midway,2022-01-12 17:00,39,8,0.072,,,NP,0,
MDW,Chicago Midway,2022-01-12 18:00,41,7,0.075,0.097,,NP,0,
MDW,Chicago Midway,2022-01-12 19:00,42,10,0.061,0.088,,NP,0,
MDW,Chicago Midway,2022-01-12 20:00,41,5,0.079,0.112,,?1,0,
MDW,Chicago Midway,2022-01-12 21:00,41,9,0.077,0.094,,NP,0,
MDW,Chicago Midway,2022-01-12 22:00,42,7,0.068,0.098,,NP,0,
MDW,Chicago Midway,2022-01-12 23:00,40,6,0.078,0.109,,NP,0,
MDW,Chicago Midway,2022-01-13 00:00,39,4,0.073,0.113,,NP,0,
MDW,Chicago Midway,2022-01-13 01:00,38,3,0.076,0.104,,NP,0,
MDW,Chicago Midway,2022-01-13 02:00,38,3,0.076,0.111,,NP,0,
MDW,Chicago Midway,2022-01-13 03:00,38,5,0.107,0.121,,NP,0,
MDW,Chicago Midway,2022-01-13 04:00,36,3,0.107,0.126,,NP,0,
MDW,Chicago Midway,2022-01-13 05:00,33,1,0.123,0.142,,NP,0,
MDW,Chicago Midway,2022-01-13 06:00,31,2,0.177,0.19,,NP,0,
MDW,Chicago Midway,2022-01-13 07:00,31,4,0.19,0.206,,NP,0,
MDW,Chicago Midway,2022-01-13 08:00,34,4,0.181,0.298,,NP,0,
MDW,Chicago Midway,2022-01-13 09:00,31,6,0.284,0.293,,NP,0,
MDW,Chicago Midway,2022-01-13 10:00,32,2,0.264,0.256,,NP,0,
MDW,Chicago Midway,2022-01-13 11:00,35,4,0.33,0.321,,NP,0,
MDW,Chicago Midway,2022-01-13 12:00,39,9,0.343,0.406,,NP,0,
MDW,Chicago Midway,2022-01-13 13:00,39,9,0.278,0.294,,NP,0,
MDW,Chicago Midway,2022-01-13 14:00,39,5,0.237,0.244,,NP,0,
MDW,Chicago Midway,2022-01-13 15:00,39,4,0.19,0.193,,NP,0,
MDW,Chicago Midway,2022-01-13 16:00,40,7,0.136,0.167,,NP,0,
MDW,Chicago Midway,2022-01-13 17:00,41,10,0.086,0.12,,NP,0,
MDW,Chicago Midway,2022-01-13 18:00,41,9,0.095,0.128,,NP,0,
MDW,Chicago Midway,2022-01-13 19:00,41,8,0.096,0.115,,NP,0,
MDW,Chicago Midway,2022-01-13 20:00,41,6,0.093,0.126,,NP,0,
MDW,Chicago Midway,2022-01-13 21:00,41,4,0.1,0.121,,NP,0,
MDW,Chicago Midway,2022-01-13 22:00,40,5,0.121,0.145,,NP,0,
MDW,Chicago Midway,2022-01-13 23:00,37,4,0.131,0.165,,NP,0,
MDW,Chicago Midway,2022-01-14 00:00,38,3,0.129,0.16,,NP,0,
MDW,Chicago Midway,2022-01-14 01:00,39,2,0.153,0.188,,NP,0,
MDW,Chicago Midway,2022-01-14 02:00,38,2,0.181,0.196,,NP,0,
MDW,Chicago Midway,2022-01-14 03:00,38,1,0.181,0.237,,NP,0,
MDW,Chicago Midway,2022-01-14 04:00,38,2,0.213,0.225,,NP,0,
MDW,Chicago Midway,2022-01-14 05:00,39,6,0.219,0.255,,NP,0,
MDW,Chicago Midway,2022-01-14 06:00,38,7,0.296,0.327,,NP,0,
MDW,Chicago Midway,2022-01-14 07:00,38,8,0.39,0.43,,NP,0,
MDW,Chicago Midway,2022-01-14 08:00,38,11,0.179,0.198,,NP,0,
MDW,Chicago Midway,2022-01-14 09:00,36,11,0.096,0.199,,?1,0,
MDW,Chicago Midway,2022-01-14 10:00,36,15,0.05,0.062,,NP,0,
MDW,Chicago Midway,2022-01-14 11:00,35,15,0.05,0.05,,NP,0,
MDW,Chicago Midway,2022-01-14 12:00,35,14,0.05,0.051,,NP,0,
MDW,Chicago Midway,2022-01-14 13:00,35,11,0.05,0.054,,NP,0,
MDW,Chicago Midway,2022-01-14 14:00,34,13,0.05,0.057,,NP,0,
MDW,Chicago Midway,2022-01-14 15:00,33,15,0.05,0.06,,NP,0,
MDW,Chicago Midway,2022-01-14 16:00,33,15,0.05,0.057,,NP,0,
MDW,Chicago Midway,2022-01-14 17:00,33,13,0.05,0.053,,NP,0,
MDW,Chicago Midway,2022-01-14 18:00,33,14,0.05,0.055,,NP,0,
MDW,Chicago Midway,2022-01-14 19:00,34,11,0.05,0.069,,NP,0,
MDW,Chicago Midway,2022-01-14 20:00,34,11,0.092,0.122,,NP,0,
MDW,Chicago Midway,2022-01-14 21:00,34,14,0.083,0.112,,NP,0,
MDW,Chicago Midway,2022-01-14 22:00,33,15,0.07,0.092,,NP,0,
MDW,Chicago Midway,2022-01-14 23:00,33,17,0.088,0.113,,?1,0,
MDW,Chicago Midway,2022-01-15 00:00,33,11,0.26,0.309,,S-,0,
MDW,Chicago Midway,2022-01-15 01:00,32,15,0.075,0.098,,?0,0,
MDW,Chicago Midway,2022-01-15 02:00,31,16,0.115,0.14,,?1,0,
MDW,Chicago Midway,2022-01-15 03:00,30,15,0.392,0.507,,S-,0,
MDW,Chicago Midway,2022-01-15 04:00,30,14,0.478,0.59,,S-,0,
MDW,Chicago Midway,2022-01-15 05:00,29,14,0.41,0.343,,S-,0,
MDW,Chicago Midway,2022-01-15 06:00,28,14,0.609,0.697,,S-,0,
MDW,Chicago Midway,2022-01-15 07:00,27,17,0.989,1.002,,S-,0,
MDW,Chicago Midway,2022-01-15 08:00,27,,,,,S-,0,
MDW,Chicago Midway,2022-01-15 09:00,26,,,,,S-,0,
MDW,Chicago Midway,2022-01-15 10:00,26,,,,,S-,0,
MDW,Chicago Midway,2022-01-15 11:00,25,,,,,?1,0,
MDW,Chicago Midway,2022-01-15 12:00,24,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 13:00,24,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 14:00,24,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 15:00,24,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 16:00,24,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 17:00,24,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 18:00,25,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 19:00,26,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 20:00,25,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 21:00,25,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 22:00,25,,,,,NP,0,
MDW,Chicago Midway,2022-01-15 23:00,25,,,,,NP,0,
MDW,Chicago Midway,2022-01-16 00:00,25,,,,,NP,0,
MDW,Chicago Midway,2022-01-16 01:00,25,,,,,NP,0,
MDW,Chicago Midway,2022-01-16 02:00,25,,,,,NP,0,
MDW,Chicago Midway,2022-01-16 03:00,23,,,,,NP,0,
MDW,Chicago Midway,2022-01-16 04:00,22,,,,,NP,0,
MDW,Chicago Midway,2022-01-16 05:00,21,,,,,NP,0,
MDW,Chicago Midway,2022-01-16 06:00,21,7,0.067,0.094,,NP,0,
